代码,名称,最新价,当日%,20日%,60日%,成交额(万)
159587,粮食ETF广发,1.215,2.45,-7.04,-1.94,-4386893.0
159063,粮食ETF南方,1.057,2.42,-7.12,-1.86,-898000.0
159031,粮食ETF博时,0.98,2.3,-7.02,-1.8,405697.0
159060,粮食ETF浦银,1.034,2.27,-7.76,-2.45,193388.0
158038,粮食ETF富国,0.99,2.27,2.7,2.7,1600435.0
159038,粮食ETF易方达,0.948,2.27,-7.24,-1.96,-1346944.0
159072,粮食ETF景顺,1.133,2.26,-7.36,-2.33,347676.0
159073,粮食ETF汇添富,1.048,2.24,-7.5,-1.87,1168658.0
159698,粮食ETF鹏华,0.941,2.17,-7.2,-1.67,3433331.0
159033,粮食ETF国泰,1.002,2.14,-7.39,-1.38,-521625.0
159030,粮食ETF华夏,0.883,2.08,-7.54,-1.89,320405.0
159855,影视ETF银华,0.754,1.89,-1.57,-0.92,-67084.0
