代码,名称,最新价,当日%,20日%,60日%,主力净流入(万),涨家数,跌家数,领涨股,总市值(亿),流通市值(亿),市盈率(TTM)
BK1518,种子,4924.91,7.26,-4.68,0.87,261117488.0,10,0,敦煌种业,630.28,576.21,150.85
BK1296,视频媒体,879.35,6.87,2.48,-9.73,45141845.0,1,0,芒果超媒,340.28,185.85,51.14
BK1341,房产租赁经纪,1451.53,5.35,0.51,3.61,110817538.0,2,1,世联行,189.13,188.39,-34.99
BK1510,其他养殖,980.02,5.18,0.68,2.5,62860797.0,3,0,华英农业,102.42,96.36,-231.91
BK1261,种植业,2839.15,4.69,-7.58,0.04,164388128.0,21,0,敦煌种业,1570.03,1505.86,115.14
BK1523,汽车经销商,1415.22,4.09,-0.41,2.54,57955938.0,6,0,上海物贸,194.73,184.46,67.85
BK1342,房地产综合服务,1328.67,3.56,-1.69,-0.57,2395818.0,1,0,珠江股份,38.6,29.79,56.56
BK1547,跨境电商,2731.07,3.34,6.81,7.25,220529412.0,7,1,跨境通,559.4,405.88,40.42
BK1016,汽车服务,960.57,3.22,-0.86,1.83,75432740.0,9,0,上海物贸,351.38,339.68,86.99
BK1489,快递,5305.52,3.22,0.72,2.28,98859648.0,4,0,申通快递,2650.97,2493.79,13.16
BK1351,印染,1518.84,3.21,1.1,-0.64,31991484.0,3,1,华纺股份,157.94,157.94,24.41
BK1548,综合电商,1016.85,3.13,1.44,3.92,42924707.0,1,0,国联股份,256.48,255.64,17.51
