名称,当日%,5日%,20日%,60日%,52周%,年初至今%,主力净流入(万)
食品饮料,0.17,-1.84,-3.36,1.45,-23.29,-16.70,-62608.55
电子,-0.54,2.30,-0.00,-25.99,36.47,32.56,-1097812.71
家用电器,0.18,-1.41,-1.85,1.95,-7.00,-7.73,-24225.68
电力设备,-0.41,-3.22,-9.42,-22.77,-11.69,-16.18,-246853.58
有色金属,-2.41,-5.74,-5.42,-9.02,18.47,-5.84,-650418.99
医药生物,0.63,0.30,-8.17,6.33,-16.55,-5.64,130139.06
通信,0.16,2.45,2.82,-25.86,53.12,34.86,-147122.40
社会服务,0.66,-4.48,0.94,-0.80,-20.14,-16.61,6977.45
汽车,1.74,-0.33,-1.59,-6.01,-24.19,-21.13,359651.59
建筑材料,0.94,3.07,3.63,-22.43,16.90,14.46,125826.37
计算机,-0.54,-1.81,-3.00,-8.17,-24.83,-18.52,-276798.32
基础化工,-0.61,-2.62,-1.99,-13.88,3.34,-3.22,-274256.34
